User District,State,Total Enrollments,Total Completion,Total Certifications,Certification %
Katihar,Bihar,"69,404","65,633","62,493",90.0%
Khagaria,Bihar,"29,759","26,687","23,933",80.4%
Kishanganj,Bihar,"36,877","33,524","30,516",82.8%
Lakhisarai,Bihar,"23,037","21,040","19,011",82.5%
Madhubani,Bihar,"86,245","79,036","70,129",81.3%
Munger,Bihar,"24,201","21,982","20,132",83.2%
Muzaffarpur,Bihar,"87,052","79,123","70,341",80.8%
Nalanda,Bihar,"68,255","64,403","61,198",89.7%
Nawada,Bihar,"53,475","49,729","45,366",84.8%
Pashchim Champaran,Bihar,"66,187","60,095","54,238",81.9%
Patna,Bihar,"89,616","82,067","75,188",83.9%
Purba Champaran,Bihar,"93,046","84,904","75,697",81.4%
Purnia,Bihar,"60,848","56,197","51,528",84.7%
Rohtas,Bihar,"50,019","45,659","41,912",83.8%
Saharsa,Bihar,"48,263","44,130","40,578",84.1%
Samastipur,Bihar,"86,284","80,050","74,269",86.1%
Saran,Bihar,"69,274","62,525","54,844",79.2%
Sheikhpura,Bihar,"8,663","7,391","6,438",74.3%
Sheohar,Bihar,"8,232","7,177","6,401",77.8%
Sitamarhi,Bihar,"55,125","51,136","46,778",84.9%
Siwan,Bihar,"67,525","60,922","55,724",82.5%
Sonepur,Bihar,"7,336","5,465","4,485",61.1%
Supaul,Bihar,"42,194","38,446","34,525",81.8%
Vaishali,Bihar,"78,006","73,325","68,329",87.6%
Madhepura,Bihar,"38,451","34,058","30,730",79.9%
Capital Complex,Chandigarh,164,116,78,47.6%
Chandigarh,Chandigarh,"20,488","15,362","13,077",63.8%
Balod,Chhattisgarh,"20,305","15,698","12,758",62.8%
Balodabazar,Chhattisgarh,"27,164","20,392","16,728",61.6%
Bastar,Chhattisgarh,"5,964","4,026","3,115",52.2%
Bemetara,Chhattisgarh,"13,904","10,175","8,503",61.2%
Bilaspur,Chhattisgarh,"30,318","22,428","17,384",57.3%
Dantewada,Chhattisgarh,"3,853","2,650","1,852",48.1%
Dhamtari,Chhattisgarh,"16,862","11,912","8,976",53.2%
Durg,Chhattisgarh,"19,320","14,637","11,092",57.4%
Gariaband,Chhattisgarh,"15,141","11,236","8,797",58.1%
Gaurela-Pendra-Marvahi,Chhattisgarh,"2,041","1,309",897,43.9%
Janjgir-Champa,Chhattisgarh,"22,778","17,247","13,950",61.2%
Jashpur,Chhattisgarh,"20,808","14,464","10,881",52.3%
Kanker,Chhattisgarh,"16,229","11,836","9,816",60.5%
Kawardha,Chhattisgarh,"15,774","11,807","9,272",58.8%
Kondagaon,Chhattisgarh,"11,599","7,947","5,864",50.6%
Korba,Chhattisgarh,"18,776","13,409","10,766",57.3%
Koriya,Chhattisgarh,"11,546","8,123","6,400",55.4%
Mahasamund,Chhattisgarh,"17,253","12,921","10,573",61.3%
Mungeli,Chhattisgarh,"14,589","11,110","9,208",63.1%
Narayanpur,Chhattisgarh,"3,568","2,337","1,387",38.9%
Raipur,Chhattisgarh,"24,578","18,245","14,419",58.7%
Rajnandgaon,Chhattisgarh,"30,887","22,732","17,163",55.6%
SAKTI,Chhattisgarh,35,24,10,28.6%
Sukma,Chhattisgarh,"5,684","3,898","2,872",50.5%
Surajpur,Chhattisgarh,"12,662","9,089","7,547",59.6%
Surguja,Chhattisgarh,"11,826","8,264","6,081",51.4%
Dadra And Nagar Haveli(Ut),Dadra & Nagar Haveli,"3,422","2,234","1,508",44.1%
Daman,Daman & Diu,594,429,340,57.2%
Diu,Daman & Diu,209,165,136,65.1%
Central Delhi,Delhi,"4,431","3,290","2,622",59.2%
East Delhi,Delhi,"11,525","8,432","6,518",56.6%
New Delhi,Delhi,"4,288","3,090","2,176",50.7%
North Delhi,Delhi,"7,777","5,691","4,201",54.0%
North East Delhi,Delhi,"5,301","3,795","2,976",56.1%
North West Delhi,Delhi,"26,544","19,848","16,271",61.3%
Shahdara,Delhi,406,263,195,48.0%
South Delhi,Delhi,"8,399","6,126","4,808",57.2%
South East Delhi,Delhi,"3,707","2,633","2,149",58.0%
South West Delhi,Delhi,"16,542","12,237","10,330",62.4%
West Delhi,Delhi,"9,128","6,609","5,216",57.1%
North Goa,Goa,"29,845","22,705","20,366",68.2%
South Goa,Goa,"22,866","17,353","15,612",68.3%
Amreli,Gujarat,"21,715","18,085","15,245",70.2%
Anand,Gujarat,"35,602","30,156","25,160",70.7%
Aravalli,Gujarat,"24,613","20,536","15,341",62.3%
Banaskantha,Gujarat,"62,362","50,414","37,648",60.4%
Bharuch,Gujarat,"26,390","21,735","18,064",68.5%
Bhavnagar,Gujarat,"32,815","27,034","22,383",68.2%
Botad,Gujarat,"12,413","10,598","9,291",74.8%
Chhotaudepur,Gujarat,"24,732","20,528","16,537",66.9%
Dahod,Gujarat,"45,769","36,567","28,874",63.1%
Devbhoomi Dwarka,Gujarat,"14,409","11,762","9,950",69.1%
Gandhinagar,Gujarat,"26,048","22,031","18,409",70.7%
Gir Somnath,Gujarat,"15,158","12,292","9,809",64.7%
Jamnagar,Gujarat,"25,805","21,857","18,872",73.1%
Junagadh,Gujarat,"17,809","15,110","12,360",69.4%
Kachchh,Gujarat,"40,013","32,279","27,295",68.2%
Kheda,Gujarat,"40,528","34,063","28,520",70.4%
Mahesana,Gujarat,"40,556","34,953","29,780",73.4%
Mahisagar,Gujarat,"33,544","28,755","22,498",67.1%
Morbi,Gujarat,"14,353","11,868","9,778",68.1%
Narmada,Gujarat,"14,068","11,577","8,952",63.6%
Navsari,Gujarat,"24,668","20,810","17,628",71.5%
Panch Mahals,Gujarat,"38,222","30,946","24,891",65.1%
Patan,Gujarat,"25,827","22,020","17,811",69.0%
Porbandar,Gujarat,"8,426","6,943","5,904",70.1%
Rajkot,Gujarat,"33,942","28,242","23,704",69.8%
Sabar Kantha,Gujarat,"39,359","33,552","28,406",72.2%
Surat,Gujarat,"51,443","42,175","35,975",69.9%
Surendranagar,Gujarat,"25,181","20,598","16,092",63.9%
Tapi,Gujarat,"18,886","16,072","13,477",71.4%
The Dangs,Gujarat,"12,446","10,403","9,298",74.7%
Vadodara,Gujarat,"43,532","36,783","31,764",73.0%
Valsad,Gujarat,"41,021","34,319","30,558",74.5%
Ahmedabad,Gujarat,"61,251","50,217","41,650",68.0%
Ambala,Haryana,"11,798","9,215","6,118",51.9%
Bhiwani,Haryana,"13,917","10,349","6,808",48.9%
Charkhi Dadri,Haryana,"5,311","4,007","2,545",47.9%
Faridabad,Haryana,"15,059","11,393","7,566",50.2%
Fatehabad,Haryana,"19,477","15,308","11,498",59.0%
Gurugram,Haryana,"20,397","15,423","12,319",60.4%
Hisar,Haryana,"20,386","15,519","10,514",51.6%
Jhajjar,Haryana,"8,775","6,898","4,281",48.8%
Jind,Haryana,"14,030","10,749","8,067",57.5%
Kaithal,Haryana,"20,851","16,197","11,738",56.3%
Karnal,Haryana,"16,481","12,794","8,647",52.5%
Kurukshetra,Haryana,"10,023","7,484","5,261",52.5%
Mahendragarh,Haryana,"11,965","9,347","7,663",64.0%
Mewat,Haryana,"16,179","12,264","7,095",43.9%
Palwal,Haryana,"18,565","14,965","10,803",58.2%
Panchkula,Haryana,"15,773","12,373","8,435",53.5%
Panipat,Haryana,"18,139","14,509","10,651",58.7%
Rewari,Haryana,"12,785","10,166","8,380",65.5%
Rohtak,Haryana,"11,715","8,940","6,295",53.7%
Sirsa,Haryana,"25,739","19,896","15,447",60.0%
Sonipat,Haryana,"18,274","14,140","9,968",54.5%
Yamunanagar,Haryana,"16,780","13,211","9,264",55.2%
Bilaspur (H.P.),Himachal Pradesh,"8,300","4,367","3,028",36.5%
Chamba,Himachal Pradesh,"7,492","4,049","2,299",30.7%
Hamirpur,Himachal Pradesh,"3,658","2,609","2,016",55.1%
Hamirpur (H.P.),Himachal Pradesh,"7,026","3,660","2,799",39.8%
Kangra,Himachal Pradesh,"17,328","10,120","6,848",39.5%
Kinnaur,Himachal Pradesh,"1,194",621,438,36.7%
Kullu,Himachal Pradesh,"3,302","1,589","1,048",31.7%
Lahul & Spiti,Himachal Pradesh,"1,999","1,257",879,44.0%
Mandi,Himachal Pradesh,"18,903","10,158","7,163",37.9%
Shimla,Himachal Pradesh,"15,386","9,652","6,456",42.0%
Sirmaur,Himachal Pradesh,"4,135","2,325","1,581",38.2%
Solan,Himachal Pradesh,"4,998","2,602","1,695",33.9%
Una,Himachal Pradesh,"6,774","3,523","2,523",37.2%
Anantnag,Jammu & Kashmir,"50,136","44,050","40,706",81.2%
Badgam,Jammu & Kashmir,"33,716","28,828","24,872",73.8%
Bandipora,Jammu & Kashmir,"20,382","17,703","15,978",78.4%
Baramula,Jammu & Kashmir,"47,952","41,179","36,624",76.4%
Doda,Jammu & Kashmir,"30,074","25,306","23,066",76.7%
Ganderbal,Jammu & Kashmir,"16,026","13,802","12,637",78.9%
Jammu,Jammu & Kashmir,"43,023","35,831","32,213",74.9%
Kathua,Jammu & Kashmir,"32,882","27,154","24,051",73.1%
Kishtwar,Jammu & Kashmir,"14,982","12,435","10,347",69.1%
Kulgam,Jammu & Kashmir,"23,133","19,941","18,075",78.1%
Kupwara,Jammu & Kashmir,"47,768","40,868","35,101",73.5%
Pulwama,Jammu & Kashmir,"22,015","19,184","17,367",78.9%
Punch,Jammu & Kashmir,"34,939","29,187","26,051",74.6%
Rajauri,Jammu & Kashmir,"37,157","30,211","23,990",64.6%
Ramban,Jammu & Kashmir,"17,895","14,621","12,428",69.4%
Reasi,Jammu & Kashmir,"20,476","16,394","12,690",62.0%
Samba,Jammu & Kashmir,"11,122","9,092","7,700",69.2%
Srinagar,Jammu & Kashmir,"20,223","17,359","15,685",77.6%
Udhampur,Jammu & Kashmir,"32,099","26,169","22,747",70.9%
Shopian,Jammu And Kashmir,"13,054","11,071","9,584",73.4%
Hazaribagh,Jharkhand,"45,417","35,785","28,313",62.3%
Bokaro,Jharkhand,"47,202","37,821","30,873",65.4%
Chatra,Jharkhand,"29,452","22,241","16,016",54.4%
Deogarh,Jharkhand,"8,328","6,901","6,395",76.8%
Deoghar,Jharkhand,"33,643","25,824","18,657",55.5%
Dhanbad,Jharkhand,"48,202","38,344","31,476",65.3%
Dumka,Jharkhand,"40,226","31,156","22,660",56.3%
Garhwa,Jharkhand,"30,040","23,169","16,665",55.5%
Giridih,Jharkhand,"49,551","37,390","26,537",53.6%
Godda,Jharkhand,"31,872","24,847","19,836",62.2%
Gumla,Jharkhand,"26,465","19,815","13,351",50.4%
Jamtara,Jharkhand,"21,114","16,859","13,566",64.3%
Khunti,Jharkhand,"16,358","12,447","8,641",52.8%
Koderma,Jharkhand,"16,267","12,698","9,782",60.1%
Latehar,Jharkhand,"15,292","11,026","6,998",45.8%
Lohardaga,Jharkhand,"9,830","7,396","5,015",51.0%
Pakur,Jharkhand,"17,519","13,585","9,797",55.9%
Palamu,Jharkhand,"48,120","37,590","28,283",58.8%
Pashchimi Singhbhum,Jharkhand,"40,241","30,682","22,663",56.3%
Purbi Singhbhum,Jharkhand,"53,591","43,353","35,250",65.8%
Ranchi,Jharkhand,"52,817","39,869","26,997",51.1%
Sahibganj,Jharkhand,"21,302","16,546","12,273",57.6%
Saraikela-Kharsawan,Jharkhand,"35,152","28,794","23,509",66.9%
Simdega,Jharkhand,"15,288","11,291","7,704",50.4%
Bagalkot,Karnataka,"35,078","28,046","23,839",68.0%
Ballari,Karnataka,"34,919","27,609","21,608",61.9%
Belagavi,Karnataka,"32,782","24,839","20,277",61.9%
Belagavi Chikkodi,Karnataka,"38,482","29,736","24,458",63.6%
Bengaluru Rural,Karnataka,"19,879","15,763","13,564",68.2%
Bengaluru U North,Karnataka,"25,083","19,424","16,130",64.3%
Bengaluru U South,Karnataka,"41,368","32,272","27,277",65.9%
Bidar,Karnataka,"17,956","13,440","10,410",58.0%
Bijapur,Karnataka,"4,960","3,320","2,205",44.5%
Chamarajanagara,Karnataka,"15,403","11,647","9,438",61.3%
Chikkaballapura,Karnataka,"25,152","20,717","18,095",71.9%
Chikkamangaluru,Karnataka,"22,278","16,951","14,014",62.9%
Chitradurga,Karnataka,"32,531","25,341","20,154",62.0%
Dakshina Kannada,Karnataka,"21,970","17,050","14,577",66.3%
Davanagere,Karnataka,"36,383","29,682","25,194",69.2%
Dharwad,Karnataka,"29,168","23,247","20,369",69.8%
Gadag,Karnataka,"20,256","16,214","13,563",67.0%
Hassan,Karnataka,"32,118","24,962","19,469",60.6%
Haveri,Karnataka,"30,404","23,913","19,938",65.6%
Kalaburagi,Karnataka,"52,624","41,745","35,504",67.5%
Kodagu,Karnataka,"4,716","3,754","3,154",66.9%
Kolar,Karnataka,"31,687","24,996","21,867",69.0%
Koppal,Karnataka,"26,473","20,319","15,968",60.3%
Mandya,Karnataka,"23,692","18,523","15,445",65.2%
Mysuru,Karnataka,"37,070","28,303","23,199",62.6%
Raichur,Karnataka,"36,366","28,626","24,698",67.9%
Ramanagara,Karnataka,"20,572","16,600","13,788",67.0%
Shivamogga,Karnataka,"30,471","23,997","19,871",65.2%
Tumakuru,Karnataka,"33,598","27,109","23,014",68.5%
Tumakuru Madhugiri,Karnataka,"20,678","16,560","13,589",65.7%
Udupi,Karnataka,"12,658","10,271","9,008",71.2%
Uttara Kannada,Karnataka,"16,864","14,122","13,313",78.9%
Uttara Kannada Sirsi,Karnataka,"16,269","12,630","11,237",69.1%
Vijayapura,Karnataka,"43,638","33,848","27,165",62.3%
Yadagiri,Karnataka,"17,318","12,772","9,971",57.6%
Alappuzha,Kerala,845,579,363,43.0%
Ernakulam,Kerala,"2,682","1,933","1,517",56.6%
Idukki,Kerala,187,135,118,63.1%
Kannur,Kerala,"1,105",816,666,60.3%
Kasaragod,Kerala,619,442,357,57.7%
Kollam,Kerala,"1,104",792,509,46.1%
Kottayam,Kerala,"1,100",798,669,60.8%
Kozhikode,Kerala,722,503,350,48.5%
Malappuram,Kerala,168,79,51,30.4%
Palakkad,Kerala,700,511,410,58.6%
Pathanamthitta,Kerala,451,339,256,56.8%
Thiruvananthapuram,Kerala,"2,364","1,671","1,301",55.0%
Thrissur,Kerala,"2,337","1,658","1,201",51.4%
Wayanad,Kerala,124,81,44,35.5%
Kargil,Ladakh,"7,102","5,099","2,861",40.3%
Leh,Ladakh,"10,138","7,823","6,006",59.2%
Lakshadweep,Lakshadweep,"3,349","2,816","2,758",82.4%
Agar Malwa,Madhya Pradesh,"14,089","11,924","7,901",56.1%
Alirajpur,Madhya Pradesh,"23,924","19,846","13,083",54.7%
Anuppur,Madhya Pradesh,"20,025","17,545","12,562",62.7%
Ashoknagar,Madhya Pradesh,"23,200","20,193","12,573",54.2%
Balaghat,Madhya Pradesh,"49,360","42,051","31,784",64.4%
Barwani,Madhya Pradesh,"31,562","26,877","17,716",56.1%
Betul,Madhya Pradesh,"51,511","43,896","31,670",61.5%
Bhind,Madhya Pradesh,"34,279","29,013","20,290",59.2%
Bhopal,Madhya Pradesh,"27,522","23,733","19,799",71.9%
Burhanpur,Madhya Pradesh,"12,935","10,854","7,803",60.3%
Chhatarpur,Madhya Pradesh,"45,468","39,659","30,261",66.6%
Chhindwara,Madhya Pradesh,"63,360","54,754","44,114",69.6%
Damoh,Madhya Pradesh,"34,691","29,250","21,887",63.1%
Datia,Madhya Pradesh,"18,819","16,205","11,405",60.6%
Dewas,Madhya Pradesh,"30,558","25,806","17,189",56.3%
Dhar,Madhya Pradesh,"57,890","48,744","34,624",59.8%
Dindori,Madhya Pradesh,"19,249","16,073","10,951",56.9%
Guna,Madhya Pradesh,"37,005","32,095","22,897",61.9%
Gwalior,Madhya Pradesh,"31,447","26,973","19,808",63.0%
Harda,Madhya Pradesh,"11,063","9,523","7,131",64.5%
Hoshangabad,Madhya Pradesh,"24,372","20,345","14,867",61.0%
Indore,Madhya Pradesh,"32,874","28,258","21,625",65.8%
Jabalpur,Madhya Pradesh,"37,443","32,085","24,415",65.2%
Jhabua,Madhya Pradesh,"26,583","22,340","14,349",54.0%
Katni,Madhya Pradesh,"30,131","25,777","19,289",64.0%
Khandwa,Madhya Pradesh,"26,247","22,178","15,700",59.8%
Khargone,Madhya Pradesh,"46,988","40,460","27,881",59.3%
Mandla,Madhya Pradesh,"30,396","25,583","18,297",60.2%
Mandsaur,Madhya Pradesh,"26,450","23,223","18,322",69.3%
Morena,Madhya Pradesh,"46,929","40,445","32,175",68.6%
Narsinghpur,Madhya Pradesh,"27,673","24,205","19,831",71.7%
Neemuch,Madhya Pradesh,"20,231","17,540","13,278",65.6%
Niwari,Madhya Pradesh,"12,564","10,919","7,977",63.5%
Panna,Madhya Pradesh,"35,780","30,751","21,061",58.9%
Raisen,Madhya Pradesh,"36,855","31,485","24,345",66.1%
Rajgarh,Madhya Pradesh,"43,640","37,013","24,368",55.8%
Ratlam,Madhya Pradesh,"36,423","31,142","21,854",60.0%
Rewa,Madhya Pradesh,"56,244","47,871","35,877",63.8%
Sagar,Madhya Pradesh,"49,828","42,472","31,951",64.1%
Satna,Madhya Pradesh,"56,014","48,441","36,382",65.0%
Sehore,Madhya Pradesh,"33,511","28,684","20,461",61.1%
Seoni,Madhya Pradesh,"45,051","38,335","28,076",62.3%
Shahdol,Madhya Pradesh,"25,491","21,284","14,858",58.3%
Shajapur,Madhya Pradesh,"19,891","17,046","11,963",60.1%
Sheopur,Madhya Pradesh,"19,428","16,883","13,007",66.9%
Shivpuri,Madhya Pradesh,"46,753","40,246","28,595",61.2%
Sidhi,Madhya Pradesh,"30,276","25,229","17,620",58.2%
Singrauli,Madhya Pradesh,"19,721","15,891","11,455",58.1%
Tikamgarh,Madhya Pradesh,"27,291","23,160","17,120",62.7%
Ujjain,Madhya Pradesh,"32,355","27,814","20,201",62.4%
Umaria,Madhya Pradesh,"15,114","12,814","9,892",65.4%
Vidisha,Madhya Pradesh,"39,025","33,909","24,883",63.8%
Ahmednagar,Maharashtra,"34,050","21,557","18,228",53.5%
Akola,Maharashtra,"10,334","6,711","5,271",51.0%
Amravati,Maharashtra,"30,012","22,595","18,663",62.2%
Beed,Maharashtra,"30,987","20,024","16,917",54.6%
Bhandara,Maharashtra,"13,729","9,649","7,758",56.5%
Buldana,Maharashtra,"24,993","16,422","13,346",53.4%
Chandrapur,Maharashtra,"31,483","22,192","18,437",58.6%
Dhule,Maharashtra,"20,171","13,762","11,635",57.7%
Gadchiroli,Maharashtra,"7,364","3,644","2,939",39.9%
Gondia,Maharashtra,"4,480","2,955","2,300",51.3%
Hingoli,Maharashtra,"4,046","2,451","2,130",52.6%
Jalgaon,Maharashtra,"27,372","17,735","14,382",52.5%
Jalna,Maharashtra,"26,506","17,828","15,192",57.3%
Kolhapur,Maharashtra,"11,159","6,690","5,555",49.8%
Latur,Maharashtra,"9,010","5,568","4,294",47.7%
Mumbai,Maharashtra,"43,059","30,501","24,361",56.6%
Mumbai (Suburban),Maharashtra,"35,349","25,185","21,028",59.5%
Nagpur,Maharashtra,"31,226","22,184","17,849",57.2%
Nanded,Maharashtra,"28,727","15,798","12,824",44.6%
Nandurbar,Maharashtra,"19,982","13,369","11,473",57.4%
Nashik,Maharashtra,"40,108","26,511","22,086",55.1%
Osmanabad,Maharashtra,"2,809","1,626","1,307",46.5%
Palghar,Maharashtra,"9,039","5,467","4,792",53.0%
Parbhani,Maharashtra,"3,190","2,000","1,567",49.1%
Pune,Maharashtra,"110,014","75,272","66,944",60.9%
Raigad,Maharashtra,"20,986","13,257","11,454",54.6%
Raigarh,Maharashtra,"46,480","36,290","31,122",67.0%
Ratnagiri,Maharashtra,"22,890","13,344","11,401",49.8%
Sangli,Maharashtra,"11,953","7,574","6,389",53.5%
Satara,Maharashtra,"57,285","37,196","32,027",55.9%
Sindhudurg,Maharashtra,"17,229","10,168","9,065",52.6%
Solapur,Maharashtra,"22,562","15,087","12,663",56.1%
Thane,Maharashtra,"22,001","14,750","12,317",56.0%
Wardha,Maharashtra,"2,681","1,644","1,400",52.2%
Washim,Maharashtra,"7,079","4,544","3,643",51.5%
Yavatmal,Maharashtra,"9,726","5,670","4,513",46.4%
Bishnupur,Manipur,"7,186","5,655","5,021",69.9%
Chandel,Manipur,"5,000","4,084","3,630",72.6%
Churachandpur,Manipur,"9,734","7,903","6,533",67.1%
Imphal East,Manipur,"12,909","10,511","9,416",72.9%
Imphal West,Manipur,"19,822","16,136","14,914",75.2%
Jiribam,Manipur,"1,983","1,625","1,429",72.1%
Kakching,Manipur,"2,365","1,908","1,688",71.4%
Kamjong,Manipur,"1,825","1,446","1,170",64.1%
Kangpokpi,Manipur,"11,583","9,842","8,854",76.4%
Noney,Manipur,"2,007","1,618","1,296",64.6%
Pherzawl,Manipur,"1,357","1,117",854,62.9%
Senapati,Manipur,"5,020","3,856","2,957",58.9%
Tamenglong,Manipur,"2,992","2,329","1,876",62.7%
Tengnoupal,Manipur,"1,792","1,460","1,261",70.4%
Thoubal,Manipur,"8,121","6,477","5,779",71.2%
Ukhrul,Manipur,"5,678","4,527","3,694",65.1%
East Garo Hills,Meghalaya,228,144,35,15.4%
East Jaintia Hills,Meghalaya,384,247,138,35.9%
East Khasi Hills,Meghalaya,"9,748","7,252","5,086",52.2%
North Garo Hills,Meghalaya,322,217,153,47.5%
Ri Bhoi,Meghalaya,"2,368","1,628",613,25.9%
South Garo Hills,Meghalaya,178,86,61,34.3%
South West Garo Hills,Meghalaya,"1,355","1,034",827,61.0%
South West Khasi Hills,Meghalaya,"1,615","1,158",489,30.3%
West Garo Hills,Meghalaya,"3,721","2,472","1,369",36.8%
West Jaintia Hills,Meghalaya,"7,196","5,286","3,237",45.0%
West Khasi Hills,Meghalaya,"3,541","2,473","1,240",35.0%
Aizawl,Mizoram,"7,689","5,900","5,269",68.5%
Champhai,Mizoram,"3,130","2,313","1,948",62.2%
Kolasib,Mizoram,"2,358","1,874","1,680",71.2%
Lawngtlai,Mizoram,"4,066","3,088","2,312",56.9%
Lunglei,Mizoram,"5,384","4,231","3,735",69.4%
Mamit,Mizoram,"1,576","1,118",961,61.0%
Saiha,Mizoram,"2,641","1,973","1,561",59.1%
Serchhip,Mizoram,"1,534","1,154",968,63.1%
Dimapur,Nagaland,"22,682","20,297","18,615",82.1%
Kiphire,Nagaland,"1,471","1,063",857,58.3%
Kohima,Nagaland,"10,095","8,014","7,233",71.6%
Longleng,Nagaland,806,564,463,57.4%
Mokokchung,Nagaland,"10,094","8,639","7,817",77.4%
